index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,team_in_possession_id,attacking_side,team_in_possession_shortname,n_player_possessions_in_phase,team_possession_loss_in_phase,team_possession_lead_to_goal,team_possession_lead_to_shot,team_in_possession_phase_type,team_in_possession_phase_type_id,team_out_of_possession_phase_type,team_out_of_possession_phase_type_id,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,team_in_possession_width_start,team_in_possession_width_end,team_in_possession_length_start,team_in_possession_length_end,team_out_of_possession_width_start,team_out_of_possession_width_end,team_out_of_possession_length_start,team_out_of_possession_length_end
10,2015180,3147,3167,00:58.7,01:00.7,0,58,2.0,1,2,1805,right_to_left,Newcastle,1,True,False,False,direct,6,defending_direct,15,-46.76,-3.92,3,center,1,defensive_third,False,-13.82,-22.41,5,wide_right,2,middle_third,False,65.53,61.23,53.63,55.24,42.52,43.69,71.45,71.1
11,2015180,3167,3183,01:00.7,01:02.3,1,0,1.6,1,1,868,left_to_right,Melbourne V FC,1,True,False,False,chaotic,5,chaotic,5,13.59,22.98,1,wide_left,2,middle_third,False,27.84,29.0,1,wide_left,3,attacking_third,False,43.7,43.14,70.96,68.48,60.91,57.88,55.22,54.47
12,2015180,3183,3246,01:02.3,01:08.6,1,2,6.3,1,2,1805,right_to_left,Newcastle,2,False,False,False,build_up,0,high_block,10,-28.47,-29.14,5,wide_right,1,defensive_third,False,-20.09,-19.4,4,half_space_right,1,defensive_third,False,57.7,53.78,54.4,45.99,43.11,25.21,68.31,61.51
13,2015180,3246,3331,01:08.6,01:17.1,1,8,8.5,1,2,1805,right_to_left,Newcastle,2,True,False,False,create,1,medium_block,9,-19.14,-19.64,4,half_space_right,1,defensive_third,False,12.27,-34.17,5,wide_right,2,middle_third,False,53.62,46.58,45.61,57.31,25.08,34.11,61.23,50.46
14,2015180,3508,3530,01:34.8,01:37.0,1,34,2.2,1,1,868,left_to_right,Melbourne V FC,2,True,False,False,chaotic,5,chaotic,5,-3.31,32.17,1,wide_left,2,middle_third,False,3.26,22.96,1,wide_left,2,middle_third,False,38.75,36.2,51.32,49.28,24.52,24.54,54.49,52.86
15,2015180,3530,3550,01:37.0,01:39.0,1,37,2.0,1,2,1805,right_to_left,Newcastle,1,True,False,False,chaotic,5,chaotic,5,-2.48,-22.48,5,wide_right,2,middle_third,False,10.68,-14.78,4,half_space_right,2,middle_third,False,24.52,24.99,52.77,51.34,36.06,33.48,49.22,48.58
16,2015180,3550,3609,01:39.0,01:44.9,1,39,5.9,1,1,868,left_to_right,Melbourne V FC,2,False,False,True,create,1,medium_block,9,-10.37,14.6,2,half_space_left,2,middle_third,False,29.43,-17.92,4,half_space_right,3,attacking_third,False,33.41,37.77,48.62,61.32,24.99,29.31,51.27,49.97
17,2015180,3609,3753,01:44.9,01:59.3,1,44,14.4,1,1,868,left_to_right,Melbourne V FC,3,True,False,True,finish,2,low_block,8,30.21,-18.4,4,half_space_right,3,attacking_third,False,38.56,2.49,3,center,3,attacking_third,True,37.73,32.21,61.68,69.29,29.69,17.44,49.87,22.64
18,2015180,3753,3791,01:59.3,02:03.1,1,59,3.8,1,2,1805,right_to_left,Newcastle,2,True,False,False,chaotic,5,chaotic,5,-38.99,-3.34,3,center,1,defensive_third,False,-34.84,-30.12,5,wide_right,1,defensive_third,False,17.43,34.58,22.77,29.81,31.96,35.73,69.29,71.81
19,2015180,3859,3994,02:09.9,02:23.4,2,9,13.5,1,1,868,left_to_right,Melbourne V FC,5,True,False,False,create,1,medium_block,9,14.28,32.12,1,wide_left,2,middle_third,False,2.11,-26.62,5,wide_right,2,middle_third,False,48.36,51.68,61.3,52.75,43.56,43.64,38.35,48.97
